The following is the index of the selected typical day used in Case Study£º
The index of selected representative days\The number of days in the corresponding clusters\Probability
2				10					0.03 
8				36					0.10 
15				10					0.03 
39				14					0.04 
62				8					0.02 
65				9					0.02 
97				12					0.03 
104				6					0.02 
118				9					0.02 
138				24					0.07 
139				26					0.07 
154				18					0.05 
171				8					0.02 
178				16					0.04 
210				5					0.01 
253				10					0.03 
258				17					0.05 
265				17					0.05 
268				3					0.01 
283				12					0.03 
285				19					0.05 
303				28					0.08 
318				35					0.10 
365				13					0.04 
